complexity,loss,equation,score,sympy_format,lambda_format
1,0.0039349706,0.7074862,0.0,0.707486200000000,PySRFunction(X=>0.707486200000000)
5,0.003154274,(0.008633128 / x2) - -0.68191594,0.0552862629631167,-1*(-0.68191594) + 0.008633128/x2,PySRFunction(X=>-1*(-0.68191594) + 0.008633128/x2)
7,0.002928269,square(-0.020899367 / x2) + 0.6987516,0.03717344755737016,0.6987516 + 0.000436783541000689/x2**2,PySRFunction(X=>0.6987516 + 0.000436783541000689/x2**2)
9,0.0017672752,(cube(x0 / x2) * 3.3751636e-5) + 0.69210225,0.25248626902696525,(x0**3/x2**3)*3.3751636e-5 + 0.69210225,PySRFunction(X=>(x0**3/x2**3)*3.3751636e-5 + 0.69210225)
11,0.0004930009,cube(cube(x0 * (0.043650407 / x2))) + 0.6990086,0.6383416023966011,5.75300401506181e-13*x0**9/x2**9 + 0.6990086,PySRFunction(X=>5.75300401506181e-13*x0**9/x2**9 + 0.6990086)
13,0.00046862283,(square(cube((x0 / x2) + -7.23902)) * 6.819464e-8) + 0.69788605,0.025356377560814866,(x0/x2 - 7.23902)**6*6.819464e-8 + 0.69788605,PySRFunction(X=>(x0/x2 - 7.23902)**6*6.819464e-8 + 0.69788605)
15,0.0004586465,(square(cube(((x0 + -0.013108085) / x2) + -7.403915)) * 8.002087e-8) + 0.6978673,0.010759241820950931,(-7.403915 + (x0 - 0.013108085)/x2)**6*8.002087e-8 + 0.6978673,PySRFunction(X=>(-7.403915 + (x0 - 0.013108085)/x2)**6*8.002087e-8 + 0.6978673)
17,0.00032256148,cube(tanh(square(cube(x0 / x2)) * 1.30316e-8)) + 0.69958645,0.17599300355461392,tanh((x0**6/x2**6)*1.30316e-8)**3 + 0.69958645,PySRFunction(X=>tanh((x0**6/x2**6)*1.30316e-8)**3 + 0.69958645)
19,0.00026905062,(tanh(cube(cube(square(x0 / x2) * 0.0022766567))) * 0.7378943) + 0.7004337,0.09069710669445714,tanh(1.6431527180334e-24*x0**18/x2**18)*0.7378943 + 0.7004337,PySRFunction(X=>tanh(1.6431527180334e-24*x0**18/x2**18)*0.7378943 + 0.7004337)
21,0.00022040727,(tanh(cube(cube(square(x0 / (0.0022053893 - x2)) * 0.0022053893))) * 0.69958645) + 0.69967914,0.09971123906073262,tanh(1.23414835418075e-24*x0**18/(0.0022053893 - x2)**18)*0.69958645 + 0.69967914,PySRFunction(X=>tanh(1.23414835418075e-24*x0**18/(0.0022053893 - x2)**18)*0.69958645 + 0.69967914)
23,0.00017985133,(tanh(cube(square((square(x0 / x2) * 0.0022766567) ^ x0))) * 0.7580647) + 0.69958645,0.10167324852498635,tanh(((x0**2/x2**2)*0.0022766567)**(6*x0))*0.7580647 + 0.69958645,PySRFunction(X=>tanh(((x0**2/x2**2)*0.0022766567)**(6*x0))*0.7580647 + 0.69958645)
25,0.00014785292,tanh((cube(square(((x0 / x2) + (x2 * 8.707067)) + -6.483075)) * 5.5934315e-8) ^ x0) + 0.69874716,0.09795628465794716,tanh(((x0/x2 + x2*8.707067 - 6.483075)**6*5.5934315e-8)**x0) + 0.69874716,PySRFunction(X=>tanh(((x0/x2 + x2*8.707067 - 6.483075)**6*5.5934315e-8)**x0) + 0.69874716)
27,9.512019e-05,(tanh(square(cube(((x0 / x2) + (x2 * 7.067745)) + -6.417118) * -0.00026415515) ^ x0) * 0.79400766) + 0.69958645,0.22053837299621218,tanh((6.97779432715225e-8*(x0/x2 + x2*7.067745 - 6.417118)**6)**x0)*0.79400766 + 0.69958645,PySRFunction(X=>tanh((6.97779432715225e-8*(x0/x2 + x2*7.067745 - 6.417118)**6)**x0)*0.79400766 + 0.69958645)
29,8.602469e-05,(tanh(square(cube(((x0 / x2) + -6.3895802) + (x2 * (x0 + 3.3988328))) * 0.0002651179) ^ x0) * 0.8165266) + 0.69958645,0.05025345089197762,tanh((7.028750090041e-8*(x0/x2 + x2*(x0 + 3.3988328) - 6.3895802)**6)**x0)*0.8165266 + 0.69958645,PySRFunction(X=>tanh((7.028750090041e-8*(x0/x2 + x2*(x0 + 3.3988328) - 6.3895802)**6)**x0)*0.8165266 + 0.69958645)
